what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682064068
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682065393
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682073943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682095253
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272682095268
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1272682095643
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682101851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682106579
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682144784
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682148216
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682148418
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682154643
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1272682154658
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682155048
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682156998
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682158528
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682206950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682214813
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682218713
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1272682218728
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272682224064
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682224875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682227480
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272682227667
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1272682228026
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1272682228026
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1272682228026
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1272682228026
